Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
2,CF-CO-5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
7.86,0.1308,0.005,,,,,,,,,,,,,,,
7.88,0.1312,0.0032,,,,,,,,,,,,,,,
7.9,0.1317,0.0039,,,,,,,,,,,,,,,
7.92,0.1319,0.0043,,,,,,,,,,,,,,,
7.94,0.1321,0.0029,,,,,,,,,,,,,,,
7.96,0.1325,0.004,,,,,,,,,,,,,,,
7.98,0.1329,0.004,,,,,,,,,,,,,,,
8,0.1331,0.0036,,,,,,,,,,,,,,,
8.02,0.1333,0.0036,,,,,,,,,,,,,,,
8.04,0.1337,0.0045,,,,,,,,,,,,,,,
8.06,0.1342,0.0044,,,,,,,,,,,,,,,
8.08,0.1344,0.003,,,,,,,,,,,,,,,
8.1,0.1348,0.0034,,,,,,,,,,,,,,,
8.12,0.1352,0.0031,,,,,,,,,,,,,,,
8.14,0.1356,0.0041,,,,,,,,,,,,,,,
8.16,0.1358,0.0036,,,,,,,,,,,,,,,
8.18,0.1362,0.0041,,,,,,,,,,,,,,,
8.2,0.1365,0.0039,,,,,,,,,,,,,,,
8.22,0.1369,0.0038,,,,,,,,,,,,,,,
8.24,0.1373,0.0053,,,,,,,,,,,,,,,
8.26,0.1375,0.0036,,,,,,,,,,,,,,,
8.28,0.1379,0.0046,,,,,,,,,,,,,,,
8.3,0.1383,0.004,,,,,,,,,,,,,,,
8.32,0.1385,0.003,,,,,,,,,,,,,,,
8.34,0.139,0.0033,,,,,,,,,,,,,,,
8.36,0.1394,0.0042,,,,,,,,,,,,,,,
8.38,0.1396,0.0038,,,,,,,,,,,,,,,
8.4,0.14,0.0044,,,,,,,,,,,,,,,
8.42,0.1404,0.0045,,,,,,,,,,,,,,,
8.44,0.1406,0.0043,,,,,,,,,,,,,,,
8.46,0.141,0.0048,,,,,,,,,,,,,,,
8.48,0.1415,0.004,,,,,,,,,,,,,,,
8.5,0.1417,0.0039,,,,,,,,,,,,,,,
8.52,0.1419,0.0047,,,,,,,,,,,,,,,
8.54,0.1423,0.0038,,,,,,,,,,,,,,,
8.56,0.1425,0.0041,,,,,,,,,,,,,,,
8.58,0.1429,0.0036,,,,,,,,,,,,,,,
8.6,0.1433,0.0034,,,,,,,,,,,,,,,
8.62,0.1435,0.0043,,,,,,,,,,,,,,,
8.64,0.144,0.0029,,,,,,,,,,,,,,,
8.66,0.1444,0.0046,,,,,,,,,,,,,,,
8.68,0.1448,0.0049,,,,,,,,,,,,,,,
8.7,0.145,0.0038,,,,,,,,,,,,,,,
8.72,0.1454,0.0043,,,,,,,,,,,,,,,
8.74,0.1458,0.0045,,,,,,,,,,,,,,,
